Id;R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
5324;D;Godfrey;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
7238;D;Kouadio;Fiorentina;1;6;6;0;0;0;0;0;0;0;0;0;0
7240;D;Siebert;Lecce;2;4,5;4,5;0;0;0;0;0;0;0;0;0;0
6351;D;Lamptey;Fiorentina;1;6;6;0;0;0;0;0;0;0;0;0;0
7271;D;Odogu;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
7274;D;Zè Pedro;Cagliari;5;5,2;5,2;0;0;0;0;0;0;0;0;0;0
6874;D;Palacios T.;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
2423;C;Pulisic;Milan;11;6,82;8,91;8;0;0;1;0;1;2;0;0;0
6875;C;Paz N.;Como;16;6,56;7,91;6;0;0;0;0;0;5;3;0;0
2194;C;Calhanoglu;Inter;13;6,5;7,65;6;0;0;3;2;1;1;2;0;0
2167;C;Orsolini;Bologna;16;6,19;7,16;6;0;0;4;3;1;1;1;0;0
2517;C;De Bruyne;Napoli;8;6,38;7,81;4;0;0;3;3;0;0;1;0;0
4777;C;McTominay;Napoli;15;6,4;6,9;2;0;0;0;0;0;2;1;0;0
4220;C;Zambo Anguissa;Napoli;11;6,5;7,64;4;0;0;0;0;0;1;1;0;0
2606;C;Modric;Milan;16;6,5;6,75;1;0;0;0;0;0;2;2;0;0
2766;C;Zaniolo;Udinese;15;6,2;6,87;4;0;0;0;0;0;0;4;0;0
5564;C;Ndoye;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
2765;C;Odgaard;Bologna;11;6,05;6,91;3;0;0;0;0;0;1;1;0;0
1870;C;Barella;Inter;16;6,28;6,66;1;0;0;0;0;0;4;2;0;0
4892;C;Saelemaekers;Milan;16;6,31;6,78;2;0;0;0;0;0;2;1;0;0
2379;C;Rabiot;Milan;9;6,5;7;1;0;0;0;0;0;2;1;0;0
1933;C;Mandragora;Fiorentina;17;5,97;6,74;5;0;0;1;1;0;0;4;0;0
632;C;Zaccagni;Lazio;15;6,13;6,57;3;0;0;0;0;0;0;3;1;0
5687;C;Vlasic;Torino;17;6,15;7,06;5;0;0;3;3;0;2;3;0;0
6884;C;Conceicao;Juventus;13;6,23;6,65;2;0;0;0;0;0;0;1;0;0
6831;C;Neres;Napoli;14;6,21;7;3;0;0;0;0;0;3;2;0;0
6666;C;Bernabè;Parma;16;6,16;6,53;2;0;0;0;0;0;0;0;0;0
5589;C;Konè M.;Roma;17;6,38;6,59;1;0;0;0;0;0;1;1;0;0
